URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,28,38,-0.15151514921946743,0.03834979660758291,20.011627906976745,0.2324230098779779,8.09762036674189,20.011627906976745,4,1004,1.8134805345729228,3,5.382916908773969
12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,9,6,0.19999998666666757,0.02332814926387535,22.17241379310345,0.15552099533437014,8.931173915375128,22.17241379310345,1,387,1.833592534992224,2,5.306376360808709
13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,30,22,0.15384615088757403,0.031268791322147445,17.322916666666668,0.12026458208057728,6.977272499498898,17.322916666666668,2,911,1.7534576067348167,18,4.800360793746242
14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,29,28,0.017543859341335802,0.032203389812314465,22.125,0.5084745762711864,9.053389830508475,22.125,9,990,1.7180790960451977,18,5.040677966101695
15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,31,19,0.23999999520000012,0.038051750351558784,20.857142857142858,0.15220700152207,8.40373994346597,20.857142857142858,2,702,1.7245053272450532,18,4.997716894977169
16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,13,4,0.5294117335640156,0.02272727269688867,16.26086956521739,0.267379679144385,6.61129969774471,16.26086956521739,2,419,1.624331550802139,7,5.065508021390374
17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,51,27,0.3076923037475346,0.05094709336972757,22.18840579710145,0.32658393207054215,9.005995891668796,22.18840579710145,5,846,1.7648595689092097,18,4.9934683213585895
18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,15,6,0.4285714081632663,0.028074866272627185,20.77777777777778,0.0,8.311111111111112,20.77777777777778,0,411,1.6323529411764706,2,4.767379679144385
19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,31,35,-0.06060605968778698,0.03020594964292634,26.97530864197531,0.13729977116704806,10.845043365256943,26.97530864197531,3,1197,1.7739130434782608,11,4.88466819221968
20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,18,39,-0.3684210461680518,0.028092656467179566,19.323809523809523,0.0,7.729523809523809,19.323809523809523,0,1166,1.7624445539674716,2,5.033021192705767
21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,20,21,-0.024390243307555043,0.03399668322222497,20.440677966101696,0.16583747927031509,8.242606178148804,20.440677966101696,2,702,1.949419568822554,10,5.509950248756219
22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,16,20,-0.11111110802469146,0.028753993587257193,15.848101265822784,0.1597444089456869,6.403138269907389,15.848101265822784,2,756,1.7356230031948883,6,4.965654952076678
23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,31,23,0.14814814540466398,0.02949208081404037,23.77922077922078,0.10922992900054614,9.55538028328853,23.77922077922078,2,1079,1.7799016930638996,13,5.2823593664664115
24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,27,18,0.19999999555555567,0.02630040910210379,26.734375,0.23378141437755698,10.787262565751023,26.734375,4,863,1.6651081239041496,21,4.85447106954997
25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32,15,0.3617021199637847,0.028160575177854655,20.8625,0.17974835230677053,8.41689934092271,20.8625,3,953,1.7573397243858597,11,5.052726183343319
26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,13,2,0.7333332844444478,0.029126213535677254,22.391304347826086,0.0,8.956521739130435,22.391304347826086,0,310,1.9145631067961164,0,5.4310679611650485
27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,40,31,0.12676056159492166,0.03850325377521515,184.4,0.21691973969631237,73.84676789587853,184.4,4,934,1.695770065075922,16,4.711496746203904
28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,17,0,0.999999941176474,0.017507723977849925,17.339285714285715,0.5149330587023687,7.141687509195234,17.339285714285715,5,549,1.8187435633367661,0,5.159629248197734
29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,7,3,0.39999996000000404,0.013717421106011768,18.225,0.2743484224965706,7.399739368998628,18.225,2,429,1.8271604938271604,1,5.486968449931413
30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,6,1,0.7142856122449125,0.015486725629454147,28.25,0.0,11.3,28.25,0,265,1.8915929203539823,1,5.311946902654867
31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,21,17,0.10526315512465383,0.030645161265608737,21.379310344827587,0.08064516129032258,8.583982202447165,21.379310344827587,1,697,1.8516129032258064,26,5.017741935483871
32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,17,12,0.17241378715814526,0.025686448161482328,23.040816326530614,0.1771479185119575,9.287185698017028,23.040816326530614,2,695,1.9193976970770594,3,5.399468556244464
33,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,21,26,-0.10638297645993668,0.03448275859539049,21.634920634920636,0.22010271460014674,8.742009339808313,21.634920634920636,3,904,1.9068231841526047,1,5.575201760821717
34,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,41,11,0.5769230658284026,0.028840820838135984,26.130434782608695,0.5546311702717693,10.674026381152187,26.130434782608695,10,1124,1.7986688851913477,9,5.334442595673877
35,https://insights.blackcoffer.com/evolution-of-advertising-industry/,46,11,0.6140350769467531,0.03527227720589587,22.136986301369863,0.12376237623762376,8.904299471042995,22.136986301369863,2,986,1.7827970297029703,3,5.291460396039604
